tags:4k
blaze	bleɪz	the blaze spread rapidly	láng	<img src="blaze.jpg">
astonish	əsˈtɒnɪʃ	The news astonished everyone	megdöbbent	<img src="astonish.jpg">
census	ˈsɛnsəs	A national census is taken every ten years	népszámlálás	<img src="census.jpg">
compel	kəmˈpɛl	The law can compel fathers to make regular payments for their children	kényszerít	<img src="compel.jpg">
contingent	kənˈtɪnʤənt	be contingent upon sg	valamitől függő	<img src="contingent.jpg">
crust	krʌst	sandwiches with the crusts cut off	kéreg	<img src="crust.jpg">
defer	dɪˈfɜː	The department deferred the decision for six months	elhalaszt	<img src="defer.jpg">
enact	ɪˈnækt	the legislature enacted this law in 1985	életbe léptet	<img src="enact.jpg">
flank	flæŋk	they attacked the enemy's right flank	szárny	<img src="flank.jpg">
incline	ɪnˈklaɪn	She inclined her head to the student	hajlik	<img src="incline.jpg">
lever	ˈliːvə	Pull the lever towards you to adjust the speed	kar	<img src="lever.jpg">
obsess	əbˈsɛs	She is obsessing over her weight	megszállott	<img src="obsess.png">
spectacle	ˈspɛktəkl	the tragic spectacle of cripples trying to escape	látványosság	<img src="spectacle.jpg">
stance	stɑːns	What is the newspaper's stance on the war?	álláspont	<img src="stance.jpg">
straw	strɔː	a mattress filled with straw	szalma	<img src="straw.jpg">
stumble	ˈstʌmbl	She stumbled over the tree root	megbotlik	<img src="stumble.jpg">
vigorous	ˈvɪgərəs	a vigorous hiker	élénk	<img src="vigorous.jpg">
