tags:5k
volatile	ˈvɒlətaɪl	volatile emotions	változékony	<img src="volatile.jpg">
massacre	ˈmæsəkə	The Hutus massacred the Tutsis in Rwanda	mészárlás	<img src="massacre.jpg">
discrepancy	dɪsˈkrɛpənsi	There were wide discrepancies in the evidence	eltérés	<img src="discrepancy.jpg">
wheat	wiːt	wheat flour	búza	<img src="wheat.jpg">
quarry	ˈkwɒri	The hunters lost sight of their quarry in the forest	zsákmány	<img src="quarry.jpg">
relish	ˈrɛlɪʃ	to relish a fight/challenge/debate	élvez	<img src="relish.jpg">
guild	gɪld	the guild of clockmakers	céh	<img src="guild.jpg">
compassion	kəmˈpæʃən	I felt no compassion towards her	együttérzés	<img src="compassion.jpg">
judiciary	ʤu(ː)ˈdɪʃɪəri	an independent judiciary	birói testület	<img src="judiciary.jpg">
angler	ˈænglə	An angler might fish off the end of a dock	horgász	<img src="angler.jpg">
growl	graʊl	The dog growled at them	morog	<img src="growl.jpg">
cub	kʌb	bears cub every year	állatkölyök	<img src="cub.jpg">
demise	dɪˈmaɪz	the demise of the USSR	pusztulás	<img src="demise.jpg">
wail	weɪl	wail in self-pity	jajgat	<img src="wail.jpg">
mob	mɒb	an excited mob of fans	tömeg	<img src="mob.jpg">
nuisance	ˈnjuːsns	I don't want to be a nuisance to yo	nyűg	<img src="nuisance.jpg">
glitter	ˈglɪtə	An ornate golden goblet glitters brightly	ragyogás	<img src="glitter.jpg">
adore	əˈdɔː	he just adored his wife	imád	<img src="adore.jpg">
wee	wiː	I might be a wee bit late	picurka	<img src="wee.jpg">
glaze	gleɪz	glaze the bread with eggwhite	máz	<img src="glaze.jpg">
linen	ˈlɪnɪn	a linen tablecloth	vászon	<img src="linen.jpg">
commend	kəˈmɛnd	She was commended on her handling of the situation	dicséret	<img src="commend.jpg">
foil	fɔɪl	pretty girls like plain friends as foil	valakinek a tökéletes ellentéte	<img src="foil.jpg">
niche	nɪʧ	he found his niche in the academic world	piaci rés	<img src="niche.jpg">
rumble	ˈrʌmbl	rumbling thunder	moraj	<img src="rumble.jpg">
bilateral	baɪˈlætərəl	bilateral hearing impairment	kétoldalú	<img src="bilateral.jpg">
sprout	spraʊt	the potatoes sprouted	kihajt	<img src="sprout.jpg">
shudder	ˈʃʌdə	Just thinking about the accident makes me shudder	remeg	<img src="shudder.png">
reminisce	ˌrɛmɪˈnɪs	The grandparents sat there, reminiscing all afternoon	mereng	<img src="reminisce.jpg">
dilute	daɪˈljuːt	diluted alcohol	higít	<img src="dilute.jpg">
denounce	dɪˈnaʊns	He denounced the government action	kifogásol	<img src="denounce.jpg">
terrific	təˈrɪfɪk	I feel absolutely terrific today!	csuda klassz	<img src="terrific.jpg">
segregate	ˈsɛgrɪgeɪt	We don't segregate in this county	elkülönít	<img src="segregate.jpg">
dale	deɪl	the Yorkshire Dales	völgy	<img src="dale.jpg">
lash	læʃ	lash the horse	ostorcsapás	<img src="lash.jpg">
confide	kənˈfaɪd	She confided all her secrets to her best friend	bizalmasan közöl	<img src="confide.jpg">
mansion	ˈmænʃən	an 18th century country mansion	kastély	<img src="mansion.jpg">
dodge	dɒʤ	He ran across the road, dodging the traffic	kitér	<img src="dodge.jpg">
ratify	ˈrætɪfaɪ	All parties ratified the peace treaty	jóváhagy	<img src="ratify.jpg">
slick	slɪk	slick F1 tyre	sima	<img src="slick.jpg">
authoritarian	ɔːˌθɒrɪˈteərɪən	an authoritarian regime	tekintélyelvű	<img src="authoritarian.jpg">
fume	fjuːm	The chimney was fuming	füst	<img src="fume.jpg">
manor	ˈmænə	the ancient manor of Tregarrick	kastély	<img src="manor.jpg">
rag	ræg	I wiped the window with a damp rag	rongy	<img src="rag.jpg">
tenure	ˈtɛnjʊə	his four-year tenure as Presiden	hivatali idő	<img src="tenure.jpg">
exacerbate	ɛksˈæsə(ː)beɪt	His aggressive reaction only exacerbated the situation	súlyosbít	<img src="exacerbate.jpg">
jeopardy	ˈʤɛpədi	The civil war has put thousands of lives in jeopardy	veszély	<img src="jeopardy.jpg">
bout	baʊt	I got a bad bout of the flu last winter	lázroham	<img src="bout.jpg">
herald	ˈhɛrəld	These talks could herald a new era of peace	hírnök	<img src="herald.jpg">
tract	trækt	the digestive tract	szervrendszer	<img src="tract.png">
wary	ˈweəri	they were wary in their movements	óvatos	<img src="wary.jpg">
wink	wɪŋk	I saw him wink at her	kacsint	<img src="wink.jpg">
curb	kɜːb	He needs to learn to curb his temper	járdaszegély	<img src="curb.jpg">
albeit	ɔːlˈbiːɪt	He finally agreed, albeit reluctantly, to help us	habár	<img src="albeit.jpg">
anguish	ˈæŋgwɪʃ	He groaned in anguish	kín	<img src="anguish.jpg">
magistrate	ˈmæʤɪstreɪt	to come up before the magistrates	békebíró	<img src="magistrate.jpg">
precipitate	prɪˈsɪpɪtɪt	His resignation precipitated a leadership crisis	kicsapódik	<img src="precipitate.jpg">
freight	freɪt	to send goods by air freight	teher	<img src="freight.jpg">
sever	ˈsɛvə	His head was severed from his body	kettévág	<img src="sever.jpg">
steward	stjʊəd	The race stewards will investigate the incident	főrendező	<img src="steward.jpg">
litigate	ˈlɪtɪgeɪt	They cannot come into court to litigate their claims	pereskedik	<img src="litigate.jpg">
referendum	ˌrɛfəˈrɛndəm	Switzerland decided to hold a referendum on joining the EU	népszavazás	<img src="referendum.jpg">
paddle	ˈpædl	paddle your own canoe	evező	<img src="paddle.jpg">
sprawl	sprɔːl	urban sprawl	terpeszkedés	<img src="sprawl.jpg">
detention	dɪˈtɛnʃən	the detention of tardy pupils	fogvatartás	<img src="detention.jpg">
compliment	ˈkɒmplɪmənt	He complimented her on her last physics paper	bók	<img src="compliment.png">
elicit	ɪˈlɪsɪt	A good comedian elicits a lot of laughs	előcsal	<img src="elicit.jpg">
ensemble	ɑːnˈsɑːmbl	a string ensemble	együttes	<img src="ensemble.jpg">
incur	ɪnˈkɜː	People who smoke incur a great danger to their health	kiteszi magát vminek	<img src="incur.jpg">
thereafter	ðeərˈɑːftə	thereafter he never called again	attól kezdve	<img src="thereafter.jpg">
cramp	kræmp	to get cramp in your leg	izomgörcs	<img src="cramp.jpg">
clamp	klæmp	clamp the chair together until the glue has hardened	szorítókapocs	<img src="clamp.jpg">
dismantle	dɪsˈmæntl	I had to dismantle the engine in order to repair it	szétszerel	<img src="dismantle.jpg">
sprinkle	ˈsprɪŋkl	It has only sprinkled, but the roads are slick	megszór	<img src="sprinkle.jpg">
lurk	lɜːk	A crocodile was lurking just below the surface	leselkedik	<img src="lurk.jpg">
pragmatic	prægˈmætɪk	a pragmatic approach to management problems	gyakorlatias	<img src="pragmatic.jpg">
lining	ˈlaɪnɪŋ	every cloud has a silver lining	bélés	<img src="lining.jpg">
hinder	ˈhaɪndə	a political situation that hinders economic growth	akadályoz	<img src="hinder.jpg">
verge	vɜːʤ	on the verge of a breakdown	valami határán	<img src="verge.jpg">
trout	traʊt	trout fishing	pisztráng	<img src="trout.jpg">
toddle	ˈtɒdl	small children toddle	tipeg	<img src="toddle.jpg">
aide	eɪd	He served as an aide to the former president	tanácsadó	<img src="aide.png">
drape	dreɪp	she adjusted the drape of her skirt	ráterít	<img src="drape.jpg">
disgrace	dɪsˈgreɪs	Her behaviour has brought disgrace on her family	szégyen	<img src="disgrace.jpg">
nutrient	ˈnjuːtrɪənt	a lack of essential nutrients	tápanyag	<img src="nutrient.jpg">
sorrow	ˈsɒrəʊ	he tried to express his sorrow at her loss	szomorúság	<img src="sorrow.jpg">
smear	smɪə	The children had smeared mud on the walls	elken	<img src="smear.jpg">
marsh	mɑːʃ	Cows were grazing on the marshes	láp	<img src="marsh.jpg">
dubious	ˈdjuːbiəs	he has a dubious record indeed	kétes	<img src="dubious.jpg">
slack	slæk	a slack rope	laza	<img src="slack.jpg">
mortar	ˈmɔːtə	crushed the seeds in a mortar	mozsár	<img src="mortar.jpg">
fiddle	ˈfɪdl	Zuckerman fiddled that song very nicely	hegedű	<img src="fiddle.jpg">
tread	trɛd	Why don't you tread in my shoes for a day?	tapos	<img src="tread.gif">
congest	kənˈʤɛst	your nose begins to congest	tömött	<img src="congest.jpg">
overt	ˈəʊvɜːt	an overt lie	nyílt	<img src="overt.png">
slab	slæb	a slab of marble/concrete	tömb	<img src="slab.jpg">
cosy	ˈkəʊzi	a cosy little room	lakályos	<img src="cosy.jpg">
dismay	dɪsˈmeɪ	She could not hide her dismay at the result	döbbenet	<img src="dismay.jpg">
sneak	sniːk	I sneaked up the stairs	oson	<img src="sneak.jpg">
covenant	ˈkʌvənənt	They covenanted with Judas for 30 pieces of silver	frigy	<img src="covenant.jpg">
moor	mʊə	mooring rope	kiköt hajót	<img src="moor.jpg">
doom	duːm	This decision will doom me to lose my position	végzet	<img src="doom.jpg">
reef	riːf	the Great Barrier Reef	zátony	<img src="reef.jpg">
ventilate	ˈvɛntɪleɪt	Wheat should be well ventilated	szellőztet	<img src="ventilate.jpg">
reckless	ˈrɛklɪs	a reckless driver	vakmerő	<img src="reckless.jpg">
commence	kəˈmɛns	The meeting is scheduled to commence at noon	kezdődik	<img src="commence.jpg">
vicious	ˈvɪʃəs	vicious gossip	rosszindulatú	<img src="vicious.jpg">
stocking	ˈstɒkɪŋ	a pair of silk stockings	harisnya	<img src="stocking.jpg">
solemn	ˈsɒləm	a solemn promise	ünnepélyes	<img src="solemn.jpg">
creek	kriːk	the creek dried up every summer	patak	<img src="creek.jpg">
chuck	ʧʌk	chuck a football back and forth	odadob	<img src="chuck.jpg">
conspicuous	kənˈspɪkjʊəs	a tower conspicuous at a great distance	szembetűnő	<img src="conspicuous.jpg">
ration	ˈræʃən	Bread was rationed during the siege of the city	fejadag	<img src="ration.jpg">
fend	fɛnd	The youngsters had to fend for themselves after their parents died	gondoskodik magáról	<img src="fend.jpg">
posture	ˈpɒsʧə	stood with good posture	testtartás	<img src="posture.jpg">
curator	kjʊəˈreɪtə	He became curator of the Bodleian library in 1892	gyám	<img src="curator.jpg">
crook	krʊk	That salesman is a real crook	görbebot	<img src="crook.jpg">
versatile	ˈvɜːsətaɪl	He's a versatile actor who has played a wide variety of parts	sokoldalú	<img src="versatile.jpg">
bait	beɪt	Live worms are used as bait	csali	<img src="bait.jpg">
foliage	ˈfəʊlɪɪʤ	dense green foliage	lomb	<img src="foliage.jpg">
squat	skwɒt	Children were squatting on the floor	guggol	<img src="squat.jpg">
sediment	ˈsɛdɪmənt	There was a layer of sediment in the bottom of the tank	üledék	<img src="sediment.jpg">
proprietor	prəˈpraɪətə	Enquiries must be made to the proprietor	tulajdonos	<img src="proprietor.jpg">
immerse	ɪˈmɜːs	Immerse yourself in hot water	belemerül	<img src="immerse.jpg">
clergy	ˈklɜːʤi	All the local clergy were asked to attend the ceremony.	papság	<img src="clergy.jpg">
liaison	li(ː)ˈeɪzɒn	he provided a liaison with the guerrillas	szerelmi viszony	<img src="liaison.jpg">
howl	haʊl	The coyotes were howling in the desert	vonyít	<img src="howl.jpg">
persecute	ˈpɜːsɪkjuːt	Jews were persecuted in the former Soviet Union	üldöz	<img src="persecute.jpg">
trench	trɛnʧ	trench the fields	lövészárok	<img src="trench.jpg">
robe	rəʊb	a ghostly figure in flowing robes of white	köntös	<img src="robe.jpg">
commemorate	kəˈmɛməreɪt	This sculpture commemorates the victims of the concentration camps	megemlékezés	<img src="commemorate.jpg">
clasp	klɑːsp	She clasped the children in her arms	kapocs	<img src="clasp.jpg">
potent	ˈpəʊtənt	a potent toxin	hatásos	<img src="potent.jpg">
divert	daɪˈvɜːt	Northbound traffic will have to be diverted onto minor roads	elterel	<img src="divert.jpg">
crane	kreɪn	We craned our necks toward the stage	daru	<img src="crane.jpg">
comrade	ˈkɒmrɪd	comrades in arms	bajtárs	<img src="comrade.jpg">
frantic	ˈfræntɪk	She is frantic with worry	kétségbeesett	<img src="frantic.jpg">
retaliate	rɪˈtælɪeɪt	The Israeli army retaliated for the Hamas bombing	megtorol	<img src="retaliate.jpg">
apprehend	ˌæprɪˈhɛnd	The police apprehended an armed suspect near the scene of the crime	letartóztat	<img src="apprehend.jpg">
negligent	ˈnɛglɪʤənt	The hospital was negligent in the way it cared for this young man	hanyag	<img src="negligent.jpg">
ornament	ˈɔːnəmənt	Christmas tree ornaments	dísz	<img src="ornament.jpg">
plausible	ˈplɔːzəbl	Her story sounded perfectly plausible	hihető	<img src="plausible.jpg">
whisk	wɪsk	Whisk the egg whites until stiff	habverõ	<img src="whisk.jpg">
lateral	ˈlætərəl	the lateral branches of a tree	oldalsó	<img src="lateral.jpg">
stalk	stɔːk	The lion was stalking a zebra	lopakodik	<img src="stalk.jpg">
cue	kjuː	She stood in the wings and waited for her cue to go on	dákó	<img src="cue.jpg">
outright	ˈaʊtraɪt	she asked him outright for a divorce	azon nyomban	<img src="outright.jpg">
sow	səʊ	sow the ground with sunflower seeds	vet	<img src="sow.jpg">
pierce	pɪəs	The needle pierced her flesh	átszúr	<img src="pierce.jpg">
stove	stəʊv	dinner was already on the stove	tűzhely	<img src="stove.jpg">
bulge	bʌlʤ	His stomach bulged after the huge meal	kidülled	<img src="bulge.png">
diocese	ˈdaɪəsɪs	Cloyne was the seat of a Protestant diocese until 1835	egyházmegye	<img src="diocese.jpg">
stray	streɪ	The child strayed from the path and her parents lost sight of her	elkóborol	<img src="stray.jpg">
solicitor	səˈlɪsɪtə	She is still a practising solicitor at the age of sixty-two	jogtanácsos	<img src="solicitor.jpg">
superintendent	ˌsjuːpərɪnˈtɛndənt	the superintendent of schools in Dallas	főfelügyelő	<img src="superintendent.jpg">
signify	ˈsɪgnɪfaɪ	dove signifies peace	jelez	<img src="signify.jpg">
ulcer	ˈʌlsə	a stomach ulcer	fekély	<img src="ulcer.jpg">
pivot	ˈpɪvət	He is the pivot of civic culture	pillér	<img src="pivot.jpg">
persuasion	pəˈsweɪʒən	It didn't take much persuasion to get her to tell us where he was	meggyőzés	<img src="persuasion.jpg">
inflict	ɪnˈflɪkt	They inflicted a humiliating defeat on the home team	kiró	<img src="inflict.jpg">
cane	keɪn	a cane chair	nád	<img src="cane.jpg">
brace	breɪs	a neck brace	merevítő	<img src="brace.jpg">
coerce	kəʊˈɜːs	They were coerced into negotiating a settlement	kényszerít	<img src="coerce.png">
indict	ɪnˈdaɪt	The senator was indicted for murder	megvádol	<img src="indict.jpg">
limp	lɪmp	He has a limp	sántít	<img src="limp.png">
shrine	ʃraɪn	a shrine to the Virgin Mary	szentély	<img src="shrine.jpg">
ditch	dɪʧ	a drainage ditch	árok	<img src="ditch.jpg">
diverge	daɪˈvɜːʤ	The two paths diverge here	szétágazik	<img src="diverge.jpg">
convene	kənˈviːn	The council convened last week	összehív találkozóra	<img src="convene.jpg">
wrestle	ˈrɛsl	they had a fierce wrestle	birkózás	<img src="wrestle.jpg">
lapse	læps	lapse of the tonge	botlás	<img src="lapse.jpg">
bulletin	ˈbʊlɪtɪn	a bulletin on the President's health)(bulletin board	hivatalos közlemény	<img src="bulletin.jpg">
dazzle	ˈdæzl	She was dazzled by the bright headlights	elkápráztat	<img src="dazzle.jpg">
hiss	hɪs	The snake lifted its head and hissed	sziszeg	<img src="hiss.jpg">
moulding	ˈməʊldɪŋ	There were elaborate plaster mouldings around the ceiling	párkány	<img src="moulding.jpg">
strive	straɪv	Newspaper editors all strive to be first with a story	erőfeszítéseket tesz	<img src="strive.jpg">
tangible	ˈtænʤəbl	I need tangible proof that aliens exist	kézzel fogható	<img src="tangible.jpg">
agitate	ˈæʤɪteɪt	Agitate the mixture to dissolve the powder	felkavar	<img src="agitate.jpg">
brisk	brɪsk	a brisk walk in the park	élénk	<img src="brisk.png">
cellar	ˈsɛlə	I went down into the cellar for more wine.	kamra	<img src="cellar.jpg">
tack	tæk	a carpet tack	rajzszeg	<img src="tack.jpg">
vent	vɛnt	air/heating vents	nyílás	<img src="vent.jpg">
putt	pʌt	he lost because he putted so poorly	gurítás golfban	<img src="putt.jpg">
prudent	ˈpruːdənt	a prudent manager	körültekintő	<img src="prudent.jpg">
cleanse	klɛnz	Purgatory is supposed to cleanse you from your sins	tisztít	<img src="cleanse.jpg">
assimilate	əˈsɪmɪleɪt	Immigrants often want to assimilate quickly	beolvad	<img src="assimilate.jpg">
inventory	ˈɪnvəntri	Inventory all books before the end of the year	leltár	<img src="inventory.jpg">
tentative	ˈtɛntətɪv	just a tentative schedule	habozó	<img src="tentative.jpg">
garment	ˈgɑːmənt	She wore a heavy knitted garment	ruha	<img src="garment.jpg">
revere	rɪˈvɪə	He is now revered as a national hero	nagyra becsül	<img src="revere.jpg">
lure	ljʊə	He lured me into temptation	csalétek	<img src="lure.jpg">
quarrel	ˈkwɒrəl	they had a quarrel	veszekedés	<img src="quarrel.jpg">
discern	dɪˈsɜːn	We could just discern the house in the distance	észrevesz	<img src="discern.jpg">
heave	hiːv	They heaved the body overboard	emel	<img src="heave.jpg">
recollect	ˌriːkəˈlɛkt	He could no longer recollect the details of the letter	felidéz	<img src="recollect.jpg">
valve	vælv	You need special tools to open the valve	szelep	<img src="valve.jpg">
mucus	ˈmjuːkəs	a handkerchief stained with blood and mucus	nyálka	<img src="mucus.jpg">
blunt	blʌnt	a blunt knife	tompa	<img src="blunt.jpg">
gratitude	ˈgrætɪtjuːd	he was overwhelmed with gratitude for their help	hála	<img src="gratitude.jpg">
bud	bʌd	The hibiscus is budding!	rügy	<img src="bud.jpg">
splendid	ˈsplɛndɪd	the splendid coronation ceremony	pompás	<img src="splendid.jpg">
dread	drɛd	the dread presence of the headmaster	retteg	<img src="dread.jpg">
susceptible	səˈsɛptəbl	susceptible to colds	fogékony	<img src="susceptible.jpg">
wedge	wɛʤ	He hammered the wedge into the crack in the stone	ék	<img src="wedge.jpg">
groom	grʊm	groom the dogs	vőlegény az esküvőn	<img src="groom.jpg">
motif	məʊˈtiːf	wallpaper with a flower motif	motívum	<img src="motif.jpg">
par	pɑː	I may take tomorrow off if I'm still feeling under par	színvonal	<img src="par.jpg">
stump	stʌmp	This problem stumped her	tuksó	<img src="stump.jpg">
hurdle	ˈhɜːdl	the last hurdle before graduation	akadály	<img src="hurdle.jpg">
imperative	ɪmˈpɛrətɪv	requests that grew more and more imperative	felszólító mód	<img src="imperative.jpg">
ail	eɪl	What ails you?	bánt	<img src="ail.jpg">
fabulous	ˈfæbjʊləs	a fabulous vacation	mesés	<img src="fabulous.jpg">
toll	təʊl	motorway tolls	vám	<img src="toll.jpg">
wholesale	ˈhəʊlseɪl	We buy the building materials wholesale	nagykereskedelem	<img src="wholesale.jpg">
ignorance	ˈɪgnərəns	ignorance is bliss	tudatlanság	<img src="ignorance.jpg">
vacant	ˈveɪkənt	the throne is never vacant	üres	<img src="vacant.jpg">
torment	ˈtɔːmənt	the torments of the damned	kínszenvedés	<img src="torment.jpg">
spectator	spɛkˈteɪtə	the spectators applauded the performance	néző	<img src="spectator.jpg">
imminent	ˈɪmɪnənt	in imminent danger	közelgő	<img src="imminent.jpg">
electorate	ɪˈlɛktərɪt	Only 60% of the electorate voted in the last election	a választók	<img src="electorate.png">
incumbent	ɪnˈkʌmbənt	the incumbent governor	hivatalban lévő	<img src="incumbent.jpg">
saddle	ˈsædl	saddle the horses	nyereg	<img src="saddle.jpg">
pasture	ˈpɑːsʧə	an area of permanent pasture	legelő	<img src="pasture.jpg">
winding	ˈwɪndɪŋ	winding roads are full of surprises	kanyargós	<img src="winding.jpg">
daunt	dɔːnt	the Cowardly Lion was easily daunted	megijeszt	<img src="daunt.jpg">
peril	ˈpɛrɪl	She seemed blissfully unaware of the peril she was in	veszedelem	<img src="peril.jpg">
bleak	bliːk	the prospects were bleak	sivár	<img src="bleak.jpg">
grit	grɪt	I had a piece of grit in my eye	homokszem	<img src="grit.jpg">
tub	tʌb	a tub of water	kád	<img src="tub.jpg">
eccentric	ɪkˈsɛntrɪk	eccentric circles	különc	<img src="eccentric.jpg">
flats	flæts	She's wearing flats	lapos cipő	<img src="flats.jpg">
trot	trɒt	She trotted the horse home	üget	<img src="trot.jpg">
groan	grəʊn	We all groaned at his terrible jokes	nyög	<img src="groan.jpg">
trickle	ˈtrɪkl	water trickled onto the lawn from the broken hose	csörgedez	<img src="trickle.jpg">
obscene	ɒbˈsiːn	obscene telephone calls	trágár	<img src="obscene.jpg">
deviate	ˈdiːvɪeɪt	the airplane's route deviated from the flight plan	eltér	<img src="deviate.jpg">
turf	tɜːf	newly laid turf	pázsit	<img src="turf.jpg">
smuggle	ˈsmʌgl	She smuggled cigarettes across the border	csempészik	<img src="smuggle.jpg">
tabloid	ˈtæblɔɪd	tabloid journalists	bulvárlap	<img src="tabloid.jpg">
substantive	ˈsʌbstəntɪv	substantive issues	számottevő	<img src="substantive.jpg">
swirl	swɜːl	The leaves swirled in the autumn wind	forog	<img src="swirl.jpg">
earnest	ˈɜːnɪst	both sides were deeply in earnest, even passionate	lelkiismeretes	<img src="earnest.jpg">
spite	spaɪt	I'm sure he only said it out of spite	rosszindulat	<img src="spite.jpg">
intercourse	ˈɪntə(ː)kɔːs	He admitted that intercourse had taken place	közösülés	<img src="intercourse.jpg">
buckle	ˈbʌkl	She buckled her belt	csat	<img src="buckle.jpg">
diversion	daɪˈvɜːʃən	a diversion from the main highway	eltérítés	<img src="diversion.jpg">
incidental	ˌɪnsɪˈdɛntl	extra duties incidental to the job	mellékes	<img src="incidental.jpg">
seduce	sɪˈdjuːs	Mrs. Robinson, you're trying to seduce me.	elbájol	<img src="seduce.jpg">
fuss	fʌs	he didn't want to make a fuss	felhajtás	<img src="fuss.jpg">
flare	fleə	The match flared and went out	jelzőfény	<img src="flare.jpg">
soothe	suːð	the medicine soothes the pain of the inflammation	megnyugtat	<img src="soothe.jpg">
vintage	ˈvɪntɪʤ	2005 was a particularly fine vintage	évjárat	<img src="vintage.jpg">
whereby	weəˈbaɪ	They have introduced a new system whereby all employees must undergo regular training	miáltal	<img src="whereby.jpg">
crunch	krʌnʧ	his shoes were crunching on the gravel	ropogtat	<img src="crunch.jpg">
superficial	ˌsjuːpəˈfɪʃəl	superficial knowledge	felszínes	<img src="superficial.jpg">
sob	sɒb	I heard a child sobbing loudly	zokog	<img src="sob.jpg">
slate	sleɪt	start over with a clean slate	pala	<img src="slate.jpg">
allegiance	əˈliːʤəns	a statement of allegiance	engedelmesség	<img src="allegiance.jpg">
purse	pɜːs	I took a coin out of my purse and gave it to the child	női pénztárca	<img src="purse.jpg">
thump	θʌmp	He thumped the table angrily	puffanás	<img src="thump.jpg">
sermon	ˈsɜːmən	We had to listen to a long sermon on the evils of wasting time	szentbeszéd	<img src="sermon.jpg">
poise	pɔɪz	His performance was full of maturity and poise	kiegyensúlyozottság	<img src="poise.jpg">
grunt	grʌnt	He grunted his reluctant approval	röfög	<img src="grunt.jpg">
withhold	wɪðˈhəʊld	My employer is withholding taxes	visszatart	<img src="withhold.jpg">
dye	daɪ	She dyed her hair blonde	befest	<img src="dye.png">
sniff	snɪf	sniff the perfume	szimatol	<img src="sniff.jpg">
nominal	ˈnɒmɪnl	the nominal leader of the party	névleges	<img src="nominal.jpg">
procession	prəˈsɛʃən	a funeral procession	felvonulás	<img src="procession.jpg">
ruthless	ˈruːθlɪs	an act of ruthless ferocity	könyörtelen	<img src="ruthless.jpg">
dangle	ˈdæŋgl	the ornaments dangled from the tree	lóg	<img src="dangle.jpg">
grove	grəʊv	an olive grove	liget	<img src="grove.jpg">
reel	riːl	an old movie reel	orsó	<img src="reel.jpg">
